Id,Project,Reporter,Assigned To,Priority,Severity,Reproducibility,Product Version,Projection,Category,Date Submitted,ETA,OS,OS Version,Platform,View Status,Updated,Summary,Status,Resolution,Fixed in Version
0000234,TLM WG Examples,tlmwg_eslx,tlmwg_eslx,normal,feature,always,,none,documentation,02-18-08,none,,,,public,02-18-08,lt_direct_memory_interface PowerPoint issues (3),resolved,no change required,
0000195,TLM WG Examples,tlmwg_reporter,,normal,feature,always,,none,general,02-11-08,none,,,,public,02-14-08,Fujitsu 2 need bus example,acknowledged,open,
0000196,TLM WG Examples,tlmwg_reporter,,normal,feature,always,,none,general,02-11-08,none,,,,public,02-14-08,Fujitsu 3 need more examples,acknowledged,open,
0000102,TLM WG Examples,tlmwg_reporter,tlmwg_eslx,normal,feature,always,,minor fix,general,01-31-08,< 1 day,,,,public,02-14-08,gp_optional_extensions enhancements,acknowledged,open,
0000148,TLM WG Examples,tlmwg_eslx,tlmwg_eslx,normal,feature,always,,none,bugs,02-06-08,none,,,,public,02-12-08,gp_optional_extensions enhancements - 2,acknowledged,open,
0000146,TLM WG Examples,tlmwg_eslx,tlmwg_eslx,normal,feature,always,,none,general,02-06-08,none,,,,public,02-12-08,Need example of DMI hint,acknowledged,open,
0000145,TLM WG Examples,tlmwg_reporter,tlmwg_eslx,normal,feature,always,,none,general,02-06-08,none,,,,public,02-12-08,Need a router example,acknowledged,open,
0000134,TLM WG Examples,tlmwg_reporter,tlmwg_eslx,normal,feature,always,,none,general,01-31-08,none,,,,public,02-12-08,STARC 4: examples of adapters to support conventional debug interfaces,acknowledged,open,
0000133,TLM WG Examples,tlmwg_reporter,tlmwg_eslx,normal,feature,always,,none,general,01-31-08,none,,,,public,02-12-08,STARC 3: Request examples of adapters to support conventional unidirectional communication interfaces,acknowledged,open,
0000130,TLM WG Examples,tlmwg_reporter,tlmwg_eslx,normal,feature,always,,none,general,01-31-08,none,,,,public,02-12-08,JEITA 2: example for Payload Event Queue,acknowledged,open,
0000128,TLM WG Examples,tlmwg_reporter,tlmwg_eslx,normal,feature,always,,none,general,01-31-08,none,,,,public,02-12-08,"JEITA 10: more examples for Backward Path, Debug Interface",acknowledged,open,
0000093,TLM WG Examples,tlmwg_reporter,tlmwg_eslx,normal,feature,always,,none,general,01-30-08,none,,,,public,02-12-08,Missing examples,acknowledged,open,
